Variant name,Plasma,Reference,Fold,Samples
B.1.1.7,AZD1222,Supasa21*,2.1,10
B.1.1.7,BNT162b2,Collier21,1.9,21
B.1.1.7,BNT162b2,Garcia-Beltran21,2.3,22
B.1.1.7,BNT162b2,Kuzmina21,1.0,10
B.1.1.7,BNT162b2,Supasa21*,3.3,25
B.1.1.7,CP,Collier21,4.5,27
B.1.1.7,CP,Kuzmina21,1.5,10
B.1.1.7,CP,Supasa21*,2.9,34
B.1.1.7,CP_M3,Planas21,1.2,28
B.1.1.7,CP_M6,Planas21,1.4,25
B.1.1.7,CP_M9,Planas21,0.8,30
B.1.1.7,Mild,Rees-Spear21,<3.0,13
B.1.1.7,Severe,Rees-Spear21,<3.0,13
B.1.351,BNT162b2,Kuzmina21,6.8,10
B.1.351,CP,Kuzmina21,6.9,10
B.1.351,CP_M3,Planas21,4.3,28
B.1.351,CP_M6,Planas21,5.7,25
B.1.351,CP_M9,Planas21,3.1,30
CAL.20C,BNT162b2,Garcia-Beltran21,2.9,22
P.1,BNT162b2,Garcia-Beltran21,15.1,22
