variant,study,num_study,susc,sample_num
Iota,BBIBP-CorV,1,I,470
Iota,BBIBP-CorV,1,R,0
Iota,BBV152,0,S,0
Iota,BBV152,0,I,0
Iota,BBV152,0,R,0
Iota,MVC-COV1901,0,S,0
Iota,MVC-COV1901,0,I,0
Iota,MVC-COV1901,0,R,0
Iota,NVX-CoV2373,0,S,0
Iota,NVX-CoV2373,0,I,0
Iota,NVX-CoV2373,0,R,0
Iota,Sputnik V,0,S,0
Iota,Sputnik V,0,I,0
Iota,Sputnik V,0,R,0
Iota,BNT,0,S,0
Iota,BNT,0,I,0
Iota,BNT,0,R,0
Iota,ZF2001,0,S,0
Iota,ZF2001,0,I,0
Iota,ZF2001,0,R,0
Epsilon,CP,5,S,26
Epsilon,CP,5,I,18
Epsilon,CP,5,R,14
Epsilon,BNT162b2,4,S,79
Epsilon,BNT162b2,4,I,17
Epsilon,BNT162b2,4,R,3
Epsilon,mRNA-1273,8,S,167
Epsilon,mRNA-1273,8,I,61
Epsilon,mRNA-1273,8,R,6
Epsilon,AZD1222,0,S,0
Epsilon,AZD1222,0,I,0
Epsilon,AZD1222,0,R,0
Epsilon,BNT_infected,0,S,0
Epsilon,BNT_infected,0,I,0
Epsilon,BNT_infected,0,R,0
Epsilon,BNT_recovered,0,S,0
Epsilon,BNT_recovered,0,I,0
Epsilon,BNT_recovered,0,R,0
Epsilon,BNT_uninfected,0,S,0
Epsilon,BNT_uninfected,0,I,0
Epsilon,BNT_uninfected,0,R,0
Epsilon,CoronaVac,2,S,105
Epsilon,CoronaVac,2,I,16
Epsilon,CoronaVac,2,R,0
Epsilon,VAC_recovered,0,S,0
Epsilon,VAC_recovered,0,I,0
Epsilon,VAC_recovered,0,R,0
Epsilon,Ad26.COV2.S,1,S,12
Epsilon,Ad26.COV2.S,1,I,2
Epsilon,Ad26.COV2.S,1,R,5
Epsilon,BBIBP-CorV,0,S,0
Epsilon,BBIBP-CorV,0,I,0
Epsilon,BBIBP-CorV,0,R,0
Epsilon,BBV152,0,S,0
Epsilon,BBV152,0,I,0
Epsilon,BBV152,0,R,0
Epsilon,MVC-COV1901,0,S,0
Epsilon,MVC-COV1901,0,I,0
Epsilon,MVC-COV1901,0,R,0
Epsilon,NVX-CoV2373,1,S,14
Epsilon,NVX-CoV2373,1,I,9
Epsilon,NVX-CoV2373,1,R,0
Epsilon,Sputnik V,0,S,0
Epsilon,Sputnik V,0,I,0
Epsilon,Sputnik V,0,R,0
Epsilon,BNT,0,S,0
Epsilon,BNT,0,I,0
Epsilon,BNT,0,R,0
Epsilon,ZF2001,0,S,0
Epsilon,ZF2001,0,I,0
Epsilon,ZF2001,0,R,0
Kappa,CP,4,S,38
Kappa,CP,4,I,32
Kappa,CP,4,R,17
Kappa,BNT162b2,5,S,38
Kappa,BNT162b2,5,I,60
Kappa,BNT162b2,5,R,4
Kappa,mRNA-1273,3,S,13
Kappa,mRNA-1273,3,I,46
Kappa,mRNA-1273,3,R,4
Kappa,AZD1222,3,S,77
Kappa,AZD1222,3,I,41
Kappa,AZD1222,3,R,1
Kappa,BNT_infected,0,S,0
Kappa,BNT_infected,0,I,0
Kappa,BNT_infected,0,R,0
Kappa,BNT_recovered,0,S,0
Kappa,BNT_recovered,0,I,0
Kappa,BNT_recovered,0,R,0
Kappa,BNT_uninfected,0,S,0
Kappa,BNT_uninfected,0,I,0
Kappa,BNT_uninfected,0,R,0
Kappa,CoronaVac,2,S,32
Kappa,CoronaVac,2,I,0
Kappa,CoronaVac,2,R,15
Kappa,VAC_recovered,0,S,0
Kappa,VAC_recovered,0,I,0
Kappa,VAC_recovered,0,R,0
Kappa,Ad26.COV2.S,1,S,7
Kappa,Ad26.COV2.S,1,I,1
Kappa,Ad26.COV2.S,1,R,0
Kappa,BBIBP-CorV,0,S,0
Kappa,BBIBP-CorV,0,I,0
Kappa,BBIBP-CorV,0,R,0
Kappa,BBV152,1,S,26
Kappa,BBV152,1,I,2
Kappa,BBV152,1,R,0
Kappa,MVC-COV1901,0,S,0
Kappa,MVC-COV1901,0,I,0
Kappa,MVC-COV1901,0,R,0
Kappa,NVX-CoV2373,0,S,0
Kappa,NVX-CoV2373,0,I,0
Kappa,NVX-CoV2373,0,R,0
Kappa,Sputnik V,0,S,0
Kappa,Sputnik V,0,I,0
Kappa,Sputnik V,0,R,0
Kappa,BNT,0,S,0
Kappa,BNT,0,I,0
Kappa,BNT,0,R,0
Kappa,ZF2001,1,S,3
Kappa,ZF2001,1,I,2
Kappa,ZF2001,1,R,5
N501Y,CP,10,S,197
N501Y,CP,10,I,15
N501Y,CP,10,R,5
N501Y,BNT162b2,5,S,49
N501Y,BNT162b2,5,I,0
N501Y,BNT162b2,5,R,0
N501Y,mRNA-1273,5,S,56
N501Y,mRNA-1273,5,I,0
N501Y,mRNA-1273,5,R,0
N501Y,AZD1222,0,S,0
N501Y,AZD1222,0,I,0
N501Y,AZD1222,0,R,0
N501Y,BNT_infected,0,S,0
N501Y,BNT_infected,0,I,0
N501Y,BNT_infected,0,R,0
N501Y,BNT_recovered,0,S,0
N501Y,BNT_recovered,0,I,0
N501Y,BNT_recovered,0,R,0
N501Y,BNT_uninfected,0,S,0
N501Y,BNT_uninfected,0,I,0
N501Y,BNT_uninfected,0,R,0
N501Y,CoronaVac,0,S,0
N501Y,CoronaVac,0,I,0
N501Y,CoronaVac,0,R,0
N501Y,VAC_recovered,0,S,0
N501Y,VAC_recovered,0,I,0
N501Y,VAC_recovered,0,R,0
N501Y,Ad26.COV2.S,0,S,0
N501Y,Ad26.COV2.S,0,I,0
N501Y,Ad26.COV2.S,0,R,0
N501Y,BBIBP-CorV,0,S,0
N501Y,BBIBP-CorV,0,I,0
N501Y,BBIBP-CorV,0,R,0
N501Y,BBV152,0,S,0
N501Y,BBV152,0,I,0
N501Y,BBV152,0,R,0
N501Y,MVC-COV1901,0,S,0
N501Y,MVC-COV1901,0,I,0
N501Y,MVC-COV1901,0,R,0
N501Y,NVX-CoV2373,0,S,0
N501Y,NVX-CoV2373,0,I,0
N501Y,NVX-CoV2373,0,R,0
N501Y,Sputnik V,0,S,0
N501Y,Sputnik V,0,I,0
N501Y,Sputnik V,0,R,0
N501Y,BNT,0,S,0
N501Y,BNT,0,I,0
N501Y,BNT,0,R,0
N501Y,ZF2001,0,S,0
N501Y,ZF2001,0,I,0
N501Y,ZF2001,0,R,0
E484K,CP,15,S,118
E484K,CP,15,I,60
E484K,CP,15,R,40
E484K,BNT162b2,8,S,47
E484K,BNT162b2,8,I,44
E484K,BNT162b2,8,R,4
E484K,mRNA-1273,6,S,84
E484K,mRNA-1273,6,I,23
E484K,mRNA-1273,6,R,0
E484K,AZD1222,0,S,0
E484K,AZD1222,0,I,0
E484K,AZD1222,0,R,0
E484K,BNT_infected,0,S,0
E484K,BNT_infected,0,I,0
E484K,BNT_infected,0,R,0
E484K,BNT_recovered,0,S,0
E484K,BNT_recovered,0,I,0
E484K,BNT_recovered,0,R,0
E484K,BNT_uninfected,0,S,0
E484K,BNT_uninfected,0,I,0
E484K,BNT_uninfected,0,R,0
E484K,CoronaVac,0,S,0
E484K,CoronaVac,0,I,0
E484K,CoronaVac,0,R,0
E484K,VAC_recovered,0,S,0
E484K,VAC_recovered,0,I,0
E484K,VAC_recovered,0,R,0
E484K,Ad26.COV2.S,0,S,0
E484K,Ad26.COV2.S,0,I,0
E484K,Ad26.COV2.S,0,R,0
E484K,BBIBP-CorV,0,S,0
E484K,BBIBP-CorV,0,I,0
E484K,BBIBP-CorV,0,R,0
E484K,BBV152,0,S,0
E484K,BBV152,0,I,0
E484K,BBV152,0,R,0
E484K,MVC-COV1901,0,S,0
E484K,MVC-COV1901,0,I,0
E484K,MVC-COV1901,0,R,0
E484K,NVX-CoV2373,0,S,0
E484K,NVX-CoV2373,0,I,0
E484K,NVX-CoV2373,0,R,0
E484K,Sputnik V,1,S,2
E484K,Sputnik V,1,I,1
E484K,Sputnik V,1,R,5
E484K,BNT,0,S,0
E484K,BNT,0,I,0
E484K,BNT,0,R,0
E484K,ZF2001,0,S,0
E484K,ZF2001,0,I,0
E484K,ZF2001,0,R,0
L452R,CP,8,S,45
L452R,CP,8,I,20
L452R,CP,8,R,8
L452R,BNT162b2,3,S,44
L452R,BNT162b2,3,I,15
L452R,BNT162b2,3,R,2
L452R,mRNA-1273,3,S,9
L452R,mRNA-1273,3,I,9
L452R,mRNA-1273,3,R,0
L452R,AZD1222,0,S,0
L452R,AZD1222,0,I,0
L452R,AZD1222,0,R,0
L452R,BNT_infected,0,S,0
L452R,BNT_infected,0,I,0
L452R,BNT_infected,0,R,0
L452R,BNT_recovered,0,S,0
L452R,BNT_recovered,0,I,0
L452R,BNT_recovered,0,R,0
L452R,BNT_uninfected,0,S,0
L452R,BNT_uninfected,0,I,0
L452R,BNT_uninfected,0,R,0
L452R,CoronaVac,0,S,0
L452R,CoronaVac,0,I,0
L452R,CoronaVac,0,R,0
L452R,VAC_recovered,0,S,0
L452R,VAC_recovered,0,I,0
L452R,VAC_recovered,0,R,0
L452R,Ad26.COV2.S,0,S,0
L452R,Ad26.COV2.S,0,I,0
L452R,Ad26.COV2.S,0,R,0
L452R,BBIBP-CorV,0,S,0
L452R,BBIBP-CorV,0,I,0
L452R,BBIBP-CorV,0,R,0
L452R,BBV152,0,S,0
L452R,BBV152,0,I,0
L452R,BBV152,0,R,0
L452R,MVC-COV1901,0,S,0
L452R,MVC-COV1901,0,I,0
L452R,MVC-COV1901,0,R,0
L452R,NVX-CoV2373,0,S,0
L452R,NVX-CoV2373,0,I,0
L452R,NVX-CoV2373,0,R,0
L452R,Sputnik V,0,S,0
L452R,Sputnik V,0,I,0
L452R,Sputnik V,0,R,0
L452R,BNT,0,S,0
L452R,BNT,0,I,0
L452R,BNT,0,R,0
L452R,ZF2001,0,S,0
L452R,ZF2001,0,I,0
L452R,ZF2001,0,R,0
