variant,study,num_study,susc,sample_num
Alpha,CP,43,S,1246
Alpha,CP,43,I,199
Alpha,CP,43,R,74
Alpha,BNT162b2,39,S,1239
Alpha,BNT162b2,39,I,181
Alpha,BNT162b2,39,R,6
Alpha,mRNA-1273,14,S,500
Alpha,mRNA-1273,14,I,49
Alpha,mRNA-1273,14,R,12
Alpha,AZD1222,4,S,45
Alpha,AZD1222,4,I,36
Alpha,AZD1222,4,R,23
Alpha,BNT_infected,1,S,6
Alpha,BNT_infected,1,I,1
Alpha,BNT_infected,1,R,0
Alpha,BNT_recovered,1,S,13
Alpha,BNT_recovered,1,I,0
Alpha,BNT_recovered,1,R,0
Alpha,BNT_uninfected,1,S,0
Alpha,BNT_uninfected,1,I,0
Alpha,BNT_uninfected,1,R,2
Alpha,CoronaVac,5,S,185
Alpha,CoronaVac,5,I,21
Alpha,CoronaVac,5,R,72
Alpha,VAC_recovered,1,S,4
Alpha,VAC_recovered,1,I,0
Alpha,VAC_recovered,1,R,2
Alpha,Ad26.COV2.S,3,S,34
Alpha,Ad26.COV2.S,3,I,1
Alpha,Ad26.COV2.S,3,R,2
Alpha,BBIBP-CorV,2,S,486
Alpha,BBIBP-CorV,2,I,0
Alpha,BBIBP-CorV,2,R,3
Alpha,BBV152,2,S,65
Alpha,BBV152,2,I,1
Alpha,BBV152,2,R,0
Alpha,MVC-COV1901,1,S,41
Alpha,MVC-COV1901,1,I,4
Alpha,MVC-COV1901,1,R,0
Alpha,NVX-CoV2373,1,S,20
Alpha,NVX-CoV2373,1,I,7
Alpha,NVX-CoV2373,1,R,1
Alpha,Sputnik V,2,S,37
Alpha,Sputnik V,2,I,2
Alpha,Sputnik V,2,R,3
Alpha,BNT,0,S,0
Alpha,BNT,0,I,0
Alpha,BNT,0,R,0
Alpha,ZF2001,0,S,0
Alpha,ZF2001,0,I,0
Alpha,ZF2001,0,R,0
Beta,CP,48,S,574
Beta,CP,48,I,724
Beta,CP,48,R,474
Beta,BNT162b2,38,S,408
Beta,BNT162b2,38,I,705
Beta,BNT162b2,38,R,350
Beta,mRNA-1273,18,S,96
Beta,mRNA-1273,18,I,365
Beta,mRNA-1273,18,R,214
Beta,AZD1222,3,S,3
Beta,AZD1222,3,I,42
Beta,AZD1222,3,R,50
Beta,BNT_infected,1,S,4
Beta,BNT_infected,1,I,3
Beta,BNT_infected,1,R,0
Beta,BNT_recovered,1,S,0
Beta,BNT_recovered,1,I,13
Beta,BNT_recovered,1,R,0
Beta,BNT_uninfected,1,S,1
Beta,BNT_uninfected,1,I,0
Beta,BNT_uninfected,1,R,1
Beta,CoronaVac,4,S,17
Beta,CoronaVac,4,I,110
Beta,CoronaVac,4,R,76
Beta,VAC_recovered,1,S,1
Beta,VAC_recovered,1,I,0
Beta,VAC_recovered,1,R,5
Beta,Ad26.COV2.S,4,S,15
Beta,Ad26.COV2.S,4,I,11
Beta,Ad26.COV2.S,4,R,35
Beta,BBIBP-CorV,3,S,27
Beta,BBIBP-CorV,3,I,473
Beta,BBIBP-CorV,3,R,13
Beta,BBV152,1,S,9
Beta,BBV152,1,I,4
Beta,BBV152,1,R,4
Beta,MVC-COV1901,1,S,30
Beta,MVC-COV1901,1,I,33
Beta,MVC-COV1901,1,R,18
Beta,NVX-CoV2373,1,S,0
Beta,NVX-CoV2373,1,I,7
Beta,NVX-CoV2373,1,R,16
Beta,Sputnik V,2,S,7
Beta,Sputnik V,2,I,35
Beta,Sputnik V,2,R,0
Beta,BNT,2,S,20
Beta,BNT,2,I,84
Beta,BNT,2,R,0
Beta,ZF2001,1,S,24
Beta,ZF2001,1,I,0
Beta,ZF2001,1,R,0
Gamma,CP,20,S,375
Gamma,CP,20,I,139
Gamma,CP,20,R,82
Gamma,BNT162b2,17,S,356
Gamma,BNT162b2,17,I,157
Gamma,BNT162b2,17,R,5
Gamma,mRNA-1273,8,S,212
Gamma,mRNA-1273,8,I,118
Gamma,mRNA-1273,8,R,10
Gamma,AZD1222,1,S,16
Gamma,AZD1222,1,I,8
Gamma,AZD1222,1,R,1
Gamma,BNT_infected,0,S,0
Gamma,BNT_infected,0,I,0
Gamma,BNT_infected,0,R,0
Gamma,BNT_recovered,0,S,0
Gamma,BNT_recovered,0,I,0
Gamma,BNT_recovered,0,R,0
Gamma,BNT_uninfected,0,S,0
Gamma,BNT_uninfected,0,I,0
Gamma,BNT_uninfected,0,R,0
Gamma,CoronaVac,4,S,81
Gamma,CoronaVac,4,I,123
Gamma,CoronaVac,4,R,54
Gamma,VAC_recovered,0,S,0
Gamma,VAC_recovered,0,I,0
Gamma,VAC_recovered,0,R,0
Gamma,Ad26.COV2.S,2,S,13
Gamma,Ad26.COV2.S,2,I,5
Gamma,Ad26.COV2.S,2,R,9
Gamma,BBIBP-CorV,1,S,470
Gamma,BBIBP-CorV,1,I,0
Gamma,BBIBP-CorV,1,R,0
Gamma,BBV152,0,S,0
Gamma,BBV152,0,I,0
Gamma,BBV152,0,R,0
Gamma,MVC-COV1901,0,S,0
Gamma,MVC-COV1901,0,I,0
Gamma,MVC-COV1901,0,R,0
Gamma,NVX-CoV2373,0,S,0
Gamma,NVX-CoV2373,0,I,0
Gamma,NVX-CoV2373,0,R,0
Gamma,Sputnik V,1,S,0
Gamma,Sputnik V,1,I,16
Gamma,Sputnik V,1,R,0
Gamma,BNT,0,S,0
Gamma,BNT,0,I,0
Gamma,BNT,0,R,0
Gamma,ZF2001,0,S,0
Gamma,ZF2001,0,I,0
Gamma,ZF2001,0,R,0
Delta,CP,8,S,127
Delta,CP,8,I,93
Delta,CP,8,R,58
Delta,BNT162b2,9,S,188
Delta,BNT162b2,9,I,198
Delta,BNT162b2,9,R,43
Delta,mRNA-1273,4,S,37
Delta,mRNA-1273,4,I,30
Delta,mRNA-1273,4,R,2
Delta,AZD1222,4,S,38
Delta,AZD1222,4,I,86
Delta,AZD1222,4,R,11
Delta,BNT_infected,0,S,0
Delta,BNT_infected,0,I,0
Delta,BNT_infected,0,R,0
Delta,BNT_recovered,0,S,0
Delta,BNT_recovered,0,I,0
Delta,BNT_recovered,0,R,0
Delta,BNT_uninfected,0,S,0
Delta,BNT_uninfected,0,I,0
Delta,BNT_uninfected,0,R,0
Delta,CoronaVac,2,S,28
Delta,CoronaVac,2,I,0
Delta,CoronaVac,2,R,60
Delta,VAC_recovered,0,S,0
Delta,VAC_recovered,0,I,0
Delta,VAC_recovered,0,R,0
Delta,Ad26.COV2.S,2,S,9
Delta,Ad26.COV2.S,2,I,6
Delta,Ad26.COV2.S,2,R,2
Delta,BBIBP-CorV,0,S,0
Delta,BBIBP-CorV,0,I,0
Delta,BBIBP-CorV,0,R,0
Delta,BBV152,1,S,12
Delta,BBV152,1,I,1
Delta,BBV152,1,R,4
Delta,MVC-COV1901,0,S,0
Delta,MVC-COV1901,0,I,0
Delta,MVC-COV1901,0,R,0
Delta,NVX-CoV2373,0,S,0
Delta,NVX-CoV2373,0,I,0
Delta,NVX-CoV2373,0,R,0
Delta,Sputnik V,1,S,16
Delta,Sputnik V,1,I,0
Delta,Sputnik V,1,R,0
Delta,BNT,0,S,0
Delta,BNT,0,I,0
Delta,BNT,0,R,0
Delta,ZF2001,0,S,0
Delta,ZF2001,0,I,0
Delta,ZF2001,0,R,0
Iota,CP,3,S,10
Iota,CP,3,I,17
Iota,CP,3,R,4
Iota,BNT162b2,3,S,21
Iota,BNT162b2,3,I,8
Iota,BNT162b2,3,R,0
Iota,mRNA-1273,5,S,146
Iota,mRNA-1273,5,I,41
Iota,mRNA-1273,5,R,6
Iota,AZD1222,0,S,0
Iota,AZD1222,0,I,0
Iota,AZD1222,0,R,0
Iota,BNT_infected,0,S,0
Iota,BNT_infected,0,I,0
Iota,BNT_infected,0,R,0
Iota,BNT_recovered,0,S,0
Iota,BNT_recovered,0,I,0
Iota,BNT_recovered,0,R,0
Iota,BNT_uninfected,0,S,0
Iota,BNT_uninfected,0,I,0
Iota,BNT_uninfected,0,R,0
Iota,CoronaVac,1,S,0
Iota,CoronaVac,1,I,93
Iota,CoronaVac,1,R,0
Iota,VAC_recovered,0,S,0
Iota,VAC_recovered,0,I,0
Iota,VAC_recovered,0,R,0
Iota,Ad26.COV2.S,0,S,0
Iota,Ad26.COV2.S,0,I,0
Iota,Ad26.COV2.S,0,R,0
Iota,BBIBP-CorV,1,S,0
