Vaccine,Samples,S,I,R,median fold,Percent
BNT162b2,7754,4920,2144,690,2.0,57
AZD1222,898,214,398,286,5.7,7
Ad26.COV2.S,489,293,131,65,2.5,4
,168,84,60,24,3.0,1
BBIBP-CorV,99,79,17,3,1.2,0.7
BBV152,219,191,26,2,1.3,2
ChAd-SARS-CoV-2,120,72,21,27,2.25,0.9
CoronaVac,557,387,138,32,1.8,4
mRNA-1273,2848,1793,816,239,2.2,21
MVC-COV1901,171,115,43,13,1.8,1
NVX-CoV2373,74,34,24,16,3.3,0.5
Sputnik V,36,27,6,3,0.9,0.3
ZF2001,44,39,5,0,1.95,0.3
mRNA-1273.211,24,16,8,0,1.4,0.2
mRNA-1273.351,24,24,0,0,0.8,0.2
mRNA-1273 + mRNA-1273.351,5,4,1,0,1.1,0.04
